Account Owner,Territory Name,Fit Score,Priority,Account ID,Account Name,Website,Annual Revenue,Current E-Commerce Platform,Industry,Sales Notes,Engagment Approach,Owner/ Driver,"Featured Campaigns, Events & Webinars",Revenue Plays,Comments
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00000kHElVYAW,Diecast Distributors Australia,http://ddaus.com.au,"USD 5,000,000",Custom Build,Toys & Games,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,001OG000015zSTVYA2,Gladstone Airport Corporation,http://gladstoneairport.com.au,"USD 5,000,000",,Aviation & Aerospace,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,0018V00002lHaC0QAK,Australian Treated Pine Pty Ltd,atpine.com.au,"USD 5,000,000",WooCommerce,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002lHZfUQAW,Samantha Avery Energy Healing,samanthaavery.com,"USD 5,000,000",WooCommerce,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,0018V00002cz5zAQAQ,GS Diamonds,gsdiamonds.com.au,"USD 5,000,000",Custom Build,Jewelry,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002kYJF7QAO,PSI Screenprinting,http://psiscreenprinting.com.au,"USD 5,000,000",,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,0018V00002kYJEGQA4,Ke-zu,kezu.com.au,"USD 5,000,000",Adobe Commerce (Magento),Furniture,,Furniture Pilot,Lane,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,High,0018V00002d0FIkQAM,Postie,postie.co.nz,"USD 5,000,000",Custom Build,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,0018V00002lHZtQQAW,Honey Ant Gallery,http://honeyantgallery.com,"USD 5,000,000",WooCommerce,Art & Photography,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00001DSwDKYA1,Multikraft Probiotic Solutions,http://multikraft.com.au,"USD 5,000,000",,Services,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,0018V00002czbwUQAQ,Queen Bee Maternity Pty Ltd,queenbee.com.au,"USD 5,000,000",Custom Build,Apparel & Accessories,#ANZtop150,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002lHaB4QAK,Anco Instant Turf,ancoturf.com.au,"USD 5,000,000",WooCommerce,Other,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG00000kHYlMYAW,Avanti Glass and Aluminium,avanti.com.au,"USD 5,000,000",,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,0018V00002lHa1tQAC,J.L Harold & L.C Harold,yoga.com.au,"USD 5,000,000",WooCommerce,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002kYJCEQA4,Viva Teamwear,http://vivaglobal.com.au,"USD 5,000,000",Shopify Plan Advanced/Basic,Apparel & Accessories,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,001OG00000kHEJLYA4,Astra Chamber Music Society,astramusic.org.au,"USD 5,000,000",,Entertainment,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,0018V00002cyykTQAQ,The Dolls House Boutique,dollshouseboutique.com.au,"USD 5,000,000",Novomind,Toys & Games,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Medium,0018V00002lHZ7UQAW,McLoughlin Butchers,http://mcloughlinbutchers.com.au,"USD 5,000,000",WooCommerce,Food & Beverage (excl. Alcohol),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002lHZfLQAW,Cordony Hair,cordonyhair.com.au,"USD 5,000,000",WooCommerce,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,001OG00000kHZNfYAO,Super Safety,supersafety.com.au,"USD 5,000,000",Adobe Commerce (Magento),Construction & Industrial,,Select,Select,Select,Select,
